model,year,price,transmission,mileage,tax,mpg,fuelType,engineSize
 C Class,2016.0, 18498,Semi-Auto,31891,0,134.5,Hybrid,2.0
 C Class,2014.0, 15498,Semi-Auto,36243,30,64.2,Diesel,2.1
 C Class,2017.0, 20995,Semi-Auto,33000,145  ,58.9,Diesel,2.1
 C Class,2018.0, 31995,Semi-Auto,11300,150,36.2,Petrol,3.0
 C Class,2017.0, 23995,Semi-Auto,32800,30,65.7,Diesel,2.1
 C Class,2014.0, 16995,Automatic,37600,30,64.2,Diesel,2.1
 C Class,2017.0, 24995,Automatic,14000,145,47.1,Petrol,2.0
 C Class,2014.0, 26998,Semi-Auto,24175,570,23.5,Petrol,6.2
 C Class,2016.0, 20498,Semi-Auto,27968,125,60.1,Diesel,2.1
 C Class,2018.0, 27498,Semi-Auto,9255,145,57.7,Diesel,2.0
 C Class,2016.0, 16998,Semi-Auto,26973,30,65.7,Diesel,1.6
 C Class,2018.0, 27498,Semi-Auto,12491,145,65.7,Diesel,2.1
 C Class,2019.0, 27698,Semi-Auto,14999,145,55.4,Diesel,2.0
 C Class,2016.0, 27498,Semi-Auto,37941,260,35.8,Petrol,3.0
 C Class,2019.0, 32498,Semi-Auto,11301,145,61.4,Diesel,2.0
 C Class,2019.0, 24498,Semi-Auto,12629,145,61.4,Diesel,2.1
 C Class,2017.0, 21498,Semi-Auto,20981,30,64.2,Diesel,2.1
 C Class,2017.0, 18998,Semi-Auto,23760,30,64.2,Diesel,2.1
 C Class,2014.0, 15998,Semi-Auto,26216,30,64.2,Diesel,2.1
 C Class,2013.0, 9298,Semi-Auto,80485,145,54.3,Diesel,2.1
 C Class,2018.0, 22998,Semi-Auto,18739,150,60.1,Diesel,2.1
 C Class,2016.0, 12998,Manual,53453,20,70.6,Diesel,2.1
 C Class,2016.0, 22998,Semi-Auto,23090,30,65.7,Diesel,2.1
 C Class,2016.0, 17998,Manual,26100,20,68.9,Diesel,2.1
 C Class,2019.0, 28498,Semi-Auto,4285,145,61.4,Diesel,2.0
 C Class,2016.0, 18998,Semi-Auto,28388,30,64.2,Diesel,1.6
 C Class,2017.0, 20998,Semi-Auto,16902,145,60.1,Diesel,2.1
 C Class,2016.0, 21998,Semi-Auto,31227,30,65.7,Diesel,2.1
 C Class,2015.0, 13998,Manual,24010,20,72.4,Diesel,1.6
 C Class,2019.0, 24498,Semi-Auto,15838,145,61.4,Diesel,2.0
 C Class,2017.0, 20998,Semi-Auto,17657,,74.3,Hybrid,2.1
 C Class,2019.0, 30498,Semi-Auto,4977,145,57.7,Diesel,2.0
 C Class,2016.0, 19498,Semi-Auto,24756,30,64.2,Diesel,2.1
 C Class,2014.0, 15298,Semi-Auto,41416,30,64.2,Diesel,2.1
 C Class,2019.0, 33998,Semi-Auto,3814,145,44.1,Petrol,1.5
 C Class,2019.0, 32998,Semi-Auto,17,145,46.3,Petrol,1.5
 C Class,2016.0, 16498,Semi-Auto,37080,20,64.2,Diesel,2.1
 C Class,2016.0, 15498,Semi-Auto,73582,30,61.4,Diesel,2.1
 C Class,2014.0, 15498,Semi-Auto,23772,20,64.2,Diesel,2.1
 C Class,2017.0, 18998,Semi-Auto,28808,145,61.4,Diesel,2.1
 C Class,2019.0, 24495,Semi-Auto,10000,145,61.4,Diesel,2.0
 C Class,2016.0, 18990,Semi-Auto,26413,20,64.2,Diesel,2.1
 C Class,2014.0, 10995,Manual,98000,20,68.9,Diesel,2.1
 C Class,2014.0, 15698,Semi-Auto,39920,30,64.2,Diesel,2.1
 C Class,2019.0, 22498,Semi-Auto,10455,145,46.3,Petrol,1.5
 C Class,2016.0, 19298,Semi-Auto,27644,30,64.2,Diesel,2.1
 C Class,2017.0, 16498,Semi-Auto,63916,,134.5,Hybrid,2.0
 C Class,2018.0, 19998,Semi-Auto,15383,145,46.3,Petrol,1.5
 C Class,2018.0, 20685,Semi-Auto,21929,145,64.2,Diesel,2.1
 C Class,2018.0, 20489,Semi-Auto,16900,145,61.4,Diesel,2.1
 C Class,2017.0, 13800,Manual,34015,145,70.6,Diesel,2.1
 C Class,2019.0, 31998,Semi-Auto,2000,145,42.2,Petrol,2.0
 C Class,2019.0, 29998,Semi-Auto,28000,145,44.1,Petrol,2.0
 C Class,2019.0, 24998,Semi-Auto,22400,145,44.1,Petrol,1.5
 C Class,2019.0, 32998,Semi-Auto,2878,145,42.2,Petrol,2.0
 C Class,2019.0, 32998,Semi-Auto,4500,145,42.2,Petrol,2.0
 C Class,2019.0, 29998,Semi-Auto,836,145,43.5,Petrol,2.0
 C Class,2017.0, 23998,Semi-Auto,14462,20,67.3,Diesel,2.1
 C Class,2016.0, 20998,Semi-Auto,23429,0,122.8,Hybrid,2.0
 C Class,2017.0, 16498,Automatic,20764,150,58.9,Diesel,2.1
 C Class,2013.0, 11998,Semi-Auto,31706,145,53.3,Diesel,2.1
 C Class,2015.0, 12495,Automatic,55000,30,64.2,Diesel,2.1
 C Class,2019.0, 19298,Automatic,10059,145,46.3,Petrol,1.5
 C Class,2019.0, 23998,Semi-Auto,10357,145,61.4,Diesel,2.0
 C Class,2015.0, 12495,Semi-Auto,50374,20,65.7,Diesel,2.1
 C Class,2015.0, 17498,Semi-Auto,42471,0,76.4,Hybrid,2.1
 C Class,2016.0, 16198,Manual,41974,20,68.9,Diesel,2.1
 C Class,2017.0, 18498,Semi-Auto,20618,30,64.2,Diesel,2.1
 C Class,2019.0, 24998,Semi-Auto,15536,145,47.1,Petrol,1.5
 C Class,2019.0, 24998,Semi-Auto,16103,145,47.1,Petrol,1.5
 C Class,2019.0, 21998,Semi-Auto,14576,145,46.3,Petrol,1.5
 C Class,2018.0, 29498,Semi-Auto,6198,145,54.3,Diesel,2.0
 C Class,2018.0, 29498,Semi-Auto,6265,145,54.3,Diesel,2.0
 C Class,2016.0, 16998,Semi-Auto,21786,20,65.7,Diesel,2.1
 C Class,2019.0, 33998,Semi-Auto,1558,145,44.1,Petrol,1.5
 C Class,2019.0, 32998,Semi-Auto,2258,145,46.3,Petrol,1.5
 C Class,2017.0, 18998,Semi-Auto,26866,30,64.2,Diesel,2.1
 C Class,2019.0, 32498,Semi-Auto,1887,145,46.3,Petrol,1.5
 C Class,2017.0, 25798,Semi-Auto,9676,145,65.7,Diesel,2.1
 C Class,2018.0, 20498,Semi-Auto,7894,145,60.1,Diesel,2.1
 C Class,2017.0, 18498,Semi-Auto,26179,145  ,60.1,Diesel,2.1
 C Class,2016.0, 14498,Manual,21945,125,53.3,Petrol,2.0
 C Class,2019.0, 29498,Semi-Auto,2195,145,61.4,Diesel,2.0
 C Class,2017.0, 17998,Semi-Auto,16291,145,50.4,Petrol,2.0
 C Class,2015.0, 13498,Manual,38438,20,70.6,Diesel,2.1
 C Class,2016.0, 19698,Automatic,25107,0,134.5,Hybrid,2.0
 C Class,2017.0, 22498,Semi-Auto,20491,135,74.3,Hybrid,2.1
 C Class,2015.0, 11998,Manual,52792,20,72.4,Diesel,1.6
 C Class,2013.0, 11998,Semi-Auto,30035,160,44.8,Petrol,1.6
 C Class,2020.0, 39998,Semi-Auto,3620,,217.3,Hybrid,2.0
 C Class,2019.0, 23498,Semi-Auto,19204,150,61.4,Diesel,2.0
 C Class,2019.0, 57998,Semi-Auto,10,145,28.5,Petrol,4.0
 C Class,2015.0, 16315,Semi-Auto,46155,30,64.2,Diesel,2.1
 C Class,2016.0, 13991,Semi-Auto,49494,30,64.2,Diesel,2.1
 C Class,2016.0, 16998,Semi-Auto,43014,30,64.2,Diesel,2.1
 C Class,2017.0, 16498,Semi-Auto,29283,,,Diesel,2.1
 C Class,2016.0, 16998,Semi-Auto,38830,20,64.2,Diesel,2.1
 C Class,2016.0, 13690,Manual,49761,20,68.9,Diesel,2.1
 C Class,2014.0, 14490,Semi-Auto,31801,20,64.2,Diesel,2.1
 C Class,2017.0, 17998,Semi-Auto,22349,145,50.4,Petrol,2.0
 C Class,2019.0, 29998,Semi-Auto,8520,145,61.4,Diesel,2.0
 C Class,2017.0, 18998,Semi-Auto,27493,0,78.5,Hybrid,2.1
 C Class,2018.0, 18998,Semi-Auto,15075,145,50.4,Petrol,2.0
 C Class,2019.0, 28998,Semi-Auto,5116,145,61.4,Diesel,2.0
 C Class,2019.0, 24998,Semi-Auto,15009,145,47.1,Petrol,1.5
 C Class,2018.0, 27998,Semi-Auto,6787,145,57.7,Diesel,2.0
 C Class,2015.0, 16798,Semi-Auto,32409,30,64.2,Diesel,2.1
 C Class,2017.0, 19998,Semi-Auto,23690,125,58.9,Diesel,2.1
 C Class,2020.0, 29950,Semi-Auto,101,145,48.7,Diesel,2.0
 C Class,2017.0, 20790,Semi-Auto,22485,0,74.3,Hybrid,2.1
 C Class,2013.0, 9490,Semi-Auto,41921,145,47.9,Petrol,1.6
 C Class,2017.0, 15690,Semi-Auto,35488,20,65.7,Diesel,2.1
 C Class,2017.0, 14990,Manual,41647,20,65.7,Diesel,2.1
 C Class,2015.0, 17290,Semi-Auto,24923,30,64.2,Diesel,2.1
 C Class,2018.0, 19490,Semi-Auto,11810,145,61.4,Diesel,2.1
 C Class,2019.0, 28990,Semi-Auto,2000,145,57.7,Diesel,2.0
 C Class,2017.0, 24990,Automatic,6668,145,58.9,Diesel,2.1
 C Class,2014.0, 28990,Semi-Auto,19562,570,23.5,Petrol,6.2
 C Class,2016.0, 16298,Semi-Auto,29201,30,64.2,Diesel,1.6
 C Class,2016.0, 14698,Manual,19864,20,70.6,Diesel,2.1
 C Class,2016.0, 13998,Manual,22117,125,53.3,Petrol,2.0
 C Class,2015.0, 14698,Semi-Auto,43331,20,64.2,Diesel,2.1
 C Class,2014.0, 10498,Semi-Auto,51929,145,53.3,Diesel,2.1
 C Class,2015.0, 11998,Semi-Auto,42245,150,53.3,Diesel,2.1
 C Class,2016.0, 15698,Automatic,42062,125,50.4,Petrol,2.0
 C Class,2015.0, 16998,Semi-Auto,43883,125,60.1,Diesel,2.1
 C Class,2016.0, 17998,Semi-Auto,36587,0,134.5,Hybrid,2.0
 C Class,2017.0, 20998,Semi-Auto,42036,20,67.3,Diesel,2.1
 C Class,2016.0, 13691,Semi-Auto,36538,30,65.7,Diesel,1.6
 C Class,2014.0, 13491,Manual,56000,20,68.9,Diesel,2.1
 C Class,2017.0, 21998,Semi-Auto,11986,150,48.7,Petrol,2.0
 C Class,2015.0, 14500,Semi-Auto,38783,20,64.2,Diesel,2.1
 C Class,2017.0, 15990,Semi-Auto,38051,20,64.2,Diesel,2.1
 C Class,2016.0, 20490,Semi-Auto,10542,125,51.4,Petrol,2.0
 C Class,2018.0, 20890,Semi-Auto,3033,145,44.1,Petrol,1.5
 C Class,2014.0, 14490,Semi-Auto,59884,30,64.2,Diesel,2.1
 C Class,2018.0, 21990,Semi-Auto,1871,145,44.1,Petrol,1.5
 C Class,2015.0, 14750,Semi-Auto,32594,20,64.2,Diesel,2.1
 C Class,2019.0, 44990,Automatic,1474,145,29.1,Petrol,3.0
 C Class,2019.0, 24690,Semi-Auto,15210,145,47.1,Petrol,1.5
 C Class,2017.0, 18270,Semi-Auto,49783,30,64.2,Diesel,2.1
 C Class,2018.0, 26625,Automatic,7175,145,57.7,Diesel,2.0
 C Class,2015.0, 13361,Semi-Auto,35034,125,53.3,Petrol,2.0
 C Class,2017.0, 17490,Semi-Auto,35576,145,64.2,Diesel,2.1
 C Class,2019.0, 26427,Automatic,13888,145,55.4,Diesel,2.0
 C Class,2019.0, 29290,Semi-Auto,4703,145,57.7,Diesel,2.0
 C Class,2017.0, 23047,Semi-Auto,8143,145,65.7,Diesel,2.1
 C Class,2015.0, 13621,Semi-Auto,57066,30,65.7,Diesel,1.6
 C Class,2017.0, 18200,Semi-Auto,25296,30,61.4,Diesel,2.1
 C Class,2017.0, 16991,Semi-Auto,29907,145,64.2,Diesel,2.1
 C Class,2018.0, 23498,Semi-Auto,5659,145,40.4,Petrol,2.0
 C Class,2015.0, 14698,Semi-Auto,23063,20,65.7,Diesel,2.1
 C Class,2013.0, 9798,Semi-Auto,60948,150,54.3,Diesel,2.1
 C Class,2016.0, 17998,Automatic,32769,30,64.2,Diesel,2.1
 C Class,2017.0, 18998,Automatic,20949,145,61.4,Diesel,2.1
 C Class,2016.0, 20700,Semi-Auto,27890,20,67.3,Diesel,2.1
 C Class,2015.0, 16990,Semi-Auto,11954,20,64.2,Diesel,2.1
 C Class,2014.0, 11791,Semi-Auto,42879,145,53.3,Diesel,2.1
 C Class,2015.0, 18191,Semi-Auto,11470,30,64.2,Diesel,1.6
 C Class,2016.0, 20991,Semi-Auto,26205,125,58.9,Diesel,2.1
 C Class,2017.0, 13321,Semi-Auto,61305,150,65.7,Diesel,1.6
 C Class,2016.0, 21998,Semi-Auto,10561,20,67.3,Diesel,2.1
 C Class,2017.0, 15998,Semi-Auto,72939,0,134.5,Hybrid,2.0
 C Class,2015.0, 13498,Manual,31125,20,70.6,Diesel,2.1
 C Class,2017.0, 20871,Semi-Auto,37194,145,65.7,Diesel,2.1
 C Class,2018.0, 25891,Semi-Auto,2240,145,44.1,Petrol,2.0
 C Class,2017.0, 20591,Semi-Auto,21023,30,64.2,Diesel,2.1
 C Class,2016.0, 19991,Semi-Auto,35975,20,67.3,Diesel,2.1
 C Class,2015.0, 15990,Semi-Auto,55226,30,64.2,Diesel,2.1
 C Class,2019.0, 30055,Automatic,3686,145,54.3,Diesel,2.0
 C Class,2017.0, 21650,Automatic,33943,145,47.1,Petrol,2.0
 C Class,2018.0, 25990,Semi-Auto,9699,145,44.1,Petrol,2.0
 C Class,2017.0, 17690,Semi-Auto,25059,145,61.4,Diesel,2.1
 C Class,2019.0, 30950,Automatic,101,145,55.4,Diesel,2.0
 C Class,2019.0, 24950,Automatic,7006,145,47.1,Petrol,1.5
 C Class,2015.0, 14998,Semi-Auto,38671,20,64.2,Diesel,2.1
 C Class,2017.0, 19798,Semi-Auto,19877,0,134.5,Hybrid,2.0
 C Class,2019.0, 24498,Semi-Auto,7937,150,47.1,Petrol,1.5
 C Class,2018.0, 19991,Semi-Auto,20027,150,60.1,Diesel,2.1
 C Class,2017.0, 21991,Semi-Auto,19953,145,67.3,Diesel,2.1
 C Class,2018.0, 22591,Semi-Auto,18551,145,67.3,Diesel,2.1
 C Class,2019.0, 18790,Semi-Auto,14288,145,64.2,Diesel,2.1
 C Class,2019.0, 25950,Automatic,10485,145,47.1,Petrol,1.5
 C Class,2020.0, 29950,Semi-Auto,101,145,64.2,Diesel,2.0
 C Class,2017.0, 14990,Semi-Auto,27424,145,65.7,Diesel,2.1
 C Class,2020.0, 31950,Automatic,2985,145,51.4,Diesel,2.0
 C Class,2016.0, 20990,Semi-Auto,36051,30,65.7,Diesel,2.1
 C Class,2020.0, 28990,Automatic,3458,145,46.3,Petrol,1.5
 C Class,2019.0, 27000,Semi-Auto,6406,145,64.2,Diesel,2.0
 C Class,2015.0, 12590,Semi-Auto,65000,150,53.3,Diesel,2.1
 C Class,2018.0, 20885,Semi-Auto,22773,145,61.4,Diesel,2.1
 C Class,2014.0, 25885,Semi-Auto,37000,570,23.5,Petrol,6.2
 C Class,2016.0, 14965,Semi-Auto,30487,20,65.7,Diesel,2.1
 C Class,2017.0, 16595,Automatic,29814,20,65.7,Diesel,2.1
 C Class,2018.0, 17940,Semi-Auto,28050,145,64.2,Diesel,2.1
 C Class,2018.0, 19940,Semi-Auto,18882,145,61.4,Diesel,2.1
 C Class,2016.0, 16498,Semi-Auto,27034,30,65.7,Diesel,1.6
 C Class,2016.0, 14500,Semi-Auto,40620,30,65.7,Diesel,1.6
 C Class,2019.0, 27791,Semi-Auto,9057,145,56.5,Diesel,2.0
 C Class,2019.0, 26499,Semi-Auto,7060,145,56.5,Diesel,2.0
 C Class,2019.0, 31990,Semi-Auto,4615,145,54.3,Diesel,2.0
 C Class,2018.0, 20999,Semi-Auto,9250,145,46.3,Petrol,1.5
 C Class,2019.0, 31999,Semi-Auto,1052,145,48.7,Diesel,2.0
 C Class,2017.0, 17495,Semi-Auto,25149,145,51.4,Petrol,2.0
 C Class,2019.0, 25495,Semi-Auto,5947,145,42.2,Petrol,1.6
 C Class,2019.0, 36995,Automatic,2749,145,54.3,Diesel,2.0
 C Class,2019.0, 30999,Semi-Auto,7144,145,57.7,Diesel,2.0
 C Class,2019.0, 29999,Semi-Auto,4843,145,57.7,Diesel,2.0
 C Class,2016.0, 17880,Automatic,44641,30,64.2,Diesel,2.1
 C Class,2016.0, 13660,Manual,26682,20,70.6,Diesel,2.1
 C Class,2016.0, 23920,Automatic,18865,30,65.7,Diesel,2.1
 C Class,2017.0, 22960,Semi-Auto,21225,20,67.3,Diesel,2.1
 C Class,2017.0, 16590,Semi-Auto,52519,30,64.2,Diesel,1.6
 C Class,2017.0, 17990,Semi-Auto,42000,30,64.2,Diesel,2.1
 C Class,2019.0, 22270,Automatic,3233,145,44.1,Petrol,1.6
 C Class,2016.0, 22680,Semi-Auto,28535,125,61.4,Diesel,2.1
 C Class,2017.0, 22440,Semi-Auto,32629,20,67.3,Diesel,2.1
 C Class,2016.0, 17820,Semi-Auto,30748,20,68.9,Diesel,2.1
 C Class,2016.0, 19290,Semi-Auto,17600,30,64.2,Diesel,2.1
 C Class,2016.0, 16390,Semi-Auto,31360,20,64.2,Diesel,2.1
 C Class,2016.0, 14450,Semi-Auto,19598,125,53.3,Petrol,2.0
 C Class,2016.0, 17250,Automatic,28192,30,64.2,Diesel,2.1
 C Class,2016.0, 19690,Semi-Auto,38087,20,67.3,Diesel,2.1
 C Class,2017.0, 19250,Semi-Auto,23523,125,60.1,Diesel,2.1
 C Class,2019.0, 21980,Automatic,7716,145,45.6,Petrol,1.5
 C Class,2019.0, 23990,Automatic,1647,145,45.6,Petrol,1.5
 C Class,2019.0, 21980,Semi-Auto,5572,145,45.6,Petrol,1.5
 C Class,2019.0, 27990,Automatic,101,145,61.4,Diesel,2.0
 C Class,2015.0, 16998,Semi-Auto,66796,0,74.3,Hybrid,2.1
 C Class,2016.0, 19698,Semi-Auto,41056,20,67.3,Diesel,2.1
 C Class,2015.0, 15498,Manual,32140,20,68.9,Diesel,2.1
 C Class,2020.0, 67999,Semi-Auto,1500,145,28,Petrol,4.0
 C Class,2020.0, 34999,Semi-Auto,1500,145,46.3,Petrol,1.5
 C Class,2016.0, 21299,Semi-Auto,12249,150,49.6,Petrol,2.0
 C Class,2017.0, 17999,Semi-Auto,37564,0,134.5,Hybrid,2.0
 C Class,2019.0, 19999,Semi-Auto,14360,150,46.3,Petrol,1.5
 C Class,2017.0, 21999,Semi-Auto,10288,150,47.9,Petrol,2.0
 C Class,2016.0, 17699,Semi-Auto,43236,30,61.4,Diesel,2.1
 C Class,2016.0, 14580,Semi-Auto,33113,20,65.7,Diesel,2.1
 C Class,2017.0, 23990,Semi-Auto,19784,145,42.2,Petrol,2.0
 C Class,2019.0, 28660,Automatic,1610,145,57.7,Diesel,2.0
 C Class,2017.0, 19490,Semi-Auto,31326,125,60.1,Diesel,2.1
 C Class,2017.0, 21770,Semi-Auto,32790,20,67.3,Diesel,2.1
 C Class,2019.0, 25990,Semi-Auto,11728,145,56.5,Diesel,2.0
 C Class,2019.0, 28660,Automatic,6282,145,54.3,Diesel,2.0
 C Class,2017.0, 22590,Semi-Auto,41131,30,65.7,Diesel,2.1
 C Class,2017.0, 22770,Automatic,14052,145,65.7,Diesel,2.1
 C Class,2015.0, 16480,Automatic,44929,30,64.2,Diesel,2.1
 C Class,2018.0, 27698,Semi-Auto,10579,145,54.3,Diesel,2.0
 C Class,2017.0, 16499,Semi-Auto,30536,150,50.4,Petrol,2.0
 C Class,2019.0, 19895,Semi-Auto,10985,145,46.3,Petrol,1.5
 C Class,2019.0, 27595,Semi-Auto,11480,145,56.5,Diesel,2.0
 C Class,2019.0, 25795,Semi-Auto,12986,145,58.9,Diesel,2.0
 C Class,2019.0, 24499,Semi-Auto,3984,145,44.1,Petrol,1.5
 C Class,2019.0, 30495,Semi-Auto,8771,145,44.1,Petrol,2.0
 C Class,2019.0, 29999,Semi-Auto,1683,145,55.4,Diesel,2.0
 C Class,2018.0, 27495,Semi-Auto,16347,145,57.7,Diesel,2.0
 C Class,2019.0, 21795,Manual,6959,145,46.3,Petrol,1.6
 C Class,2013.0, 9881,Automatic,50591,160,46.3,Petrol,1.6
 C Class,2015.0, 13498,Manual,14480,125,53.3,Petrol,2.0
 C Class,2019.0, 24450,Semi-Auto,10471,145,64.2,Diesel,2.0
 C Class,2015.0, 17450,Semi-Auto,37000,30,64.2,Diesel,2.1
 C Class,2016.0, 14450,Semi-Auto,34000,20,65.7,Diesel,2.1
 C Class,2017.0, 24990,Semi-Auto,22369,145,61.4,Diesel,2.1
 C Class,2015.0, 16440,Semi-Auto,29286,20,64.2,Diesel,2.1
 C Class,2014.0, 9891,Semi-Auto,52500,125,57.7,Diesel,2.1
